GEOID,expected_in_aoi,file_present,path,readable,crs,pixel_size_x,pixel_size_y,width,height,sampled_valid_fraction,unmasked_nonfinite_count,sampled_min,sampled_max,qa_status,qa_note
12003,1,1,12003_ndvi.tif,1,EPSG:5070,90.0,90.0,512,566,0.6527095295936396,0,0.037295036017894745,0.9909113645553589,pass,
12005,1,1,12005_ndvi.tif,1,EPSG:5070,90.0,90.0,705,789,0.5099137969779504,0,-0.9975262880325317,0.9818324446678162,pass,
12009,1,1,12009_ndvi.tif,1,EPSG:5070,90.0,90.0,746,1199,0.4637801384978993,0,-0.8638467788696289,0.9932219982147217,pass,
12011,1,1,12011_ndvi.tif,1,EPSG:5070,90.0,90.0,916,561,0.7615086129727794,0,-0.3560844957828522,0.9943876266479492,pass,
12015,1,1,12015_ndvi.tif,1,EPSG:5070,90.0,90.0,922,425,0.6102181957381652,0,-0.5376877784729004,0.9775260090827942,pass,
12017,1,1,12017_ndvi.tif,1,EPSG:5070,90.0,90.0,670,467,0.679478410943143,0,-0.4186076819896698,0.9994321465492249,pass,
12019,1,1,12019_ndvi.tif,1,EPSG:5070,90.0,90.0,560,635,0.5819066366704162,0,-0.3722490966320038,0.9871947169303894,pass,
12021,1,1,12021_ndvi.tif,1,EPSG:5070,90.0,90.0,1177,895,0.6406212176587575,0,-0.6537693738937378,0.989660918712616,pass,
12031,1,1,12031_ndvi.tif,1,EPSG:5070,90.0,90.0,711,579,0.662005154626654,0,-0.5181096792221069,0.9797146916389465,pass,
12033,1,1,12033_ndvi.tif,1,EPSG:5070,90.0,90.0,815,919,0.3217861505904658,0,-0.998832643032074,0.9735474586486816,pass,
12035,1,1,12035_ndvi.tif,1,EPSG:5070,90.0,90.0,487,534,0.6278560936406494,0,-0.17495401203632355,0.9854088425636292,pass,
12039,1,1,12039_ndvi.tif,1,EPSG:5070,90.0,90.0,675,417,0.604966693312017,0,-0.3236946761608124,0.9799615144729614,pass,
12041,1,1,12041_ndvi.tif,1,EPSG:5070,90.0,90.0,349,453,0.7244286735358673,0,0.1401793509721756,0.9885874390602112,pass,
12053,1,1,12053_ndvi.tif,1,EPSG:5070,90.0,90.0,707,357,0.6338812752823901,0,-0.5597042441368103,0.9766777157783508,pass,
12055,1,1,12055_ndvi.tif,1,EPSG:5070,90.0,90.0,764,810,0.5746444961540947,0,-0.34544962644577026,0.9985889196395874,pass,
12057,1,1,12057_ndvi.tif,1,EPSG:5070,90.0,90.0,766,834,0.5447887121112509,0,-0.2857499122619629,0.96614009141922,pass,
12061,1,1,12061_ndvi.tif,1,EPSG:5070,90.0,90.0,662,425,0.6167798116225343,0,-0.4825347065925598,0.9806534051895142,pass,
